DZN,Mode,Persons
110350002,Walked only,3
110350002,Worked at home,40
110350003,Train,0
110350003,Bus,0
110350003,Ferry,0
110350003,Tram,0
110350003,Taxi,0
110350003,"Car, as driver",42
110350003,"Car, as passenger",5
110350003,Truck,0
110350003,Motorbike/scooter,0
110350003,Bicycle,0
110350003,Walked only,0
110350003,Worked at home,28
110366085,Train,9
110366085,Bus,0
110366085,Ferry,0
110366085,Tram,0
110366085,Taxi,0
110366085,"Car, as driver",304
110366085,"Car, as passenger",12
110366085,Truck,3
110366085,Motorbike/scooter,5
110366085,Bicycle,0
110366085,Walked only,4
110366085,Worked at home,39
110366086,Train,26
110366086,Bus,11
110366086,Ferry,0
110366086,Tram,0
110366086,Taxi,3
110366086,"Car, as driver",698
110366086,"Car, as passenger",59
110366086,Truck,11
110366086,Motorbike/scooter,5
110366086,Bicycle,3
110366086,Walked only,28
110366086,Worked at home,59
110366087,Train,4
110366087,Bus,0
110366087,Ferry,0
110366087,Tram,0
110366087,Taxi,0
110366087,"Car, as driver",133
110366087,"Car, as passenger",13
110366087,Truck,0
110366087,Motorbike/scooter,0
110366087,Bicycle,0
110366087,Walked only,5
110366087,Worked at home,22
110366088,Train,12
110366088,Bus,6
110366088,Ferry,0
110366088,Tram,0
110366088,Taxi,0
110366088,"Car, as driver",836
110366088,"Car, as passenger",34
110366088,Truck,3
